title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
Desperate Housewives,2004,7+,7.5/10,79/100,0,1,0,0,7.5,79.0,Comedy Drama Mystery,"Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor."
Broad City,2014,18+,8.4/10,79/100,0,1,0,0,8.4,79.0,Comedy,"Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time."
Boston Legal,2004,16+,8.4/10,79/100,0,1,0,0,8.4,79.0,Comedy Crime Drama,"Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt."
Revenge,2011,18+,7.8/10,79/100,0,1,0,0,7.8,79.0,Drama Mystery Thriller,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.
Samurai Champloo,2004,18+,8.5/10,79/100,0,1,0,0,8.5,79.0,Animation Action Adventure,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers."""
Workaholics,2011,16+,8.1/10,79/100,0,1,1,0,8.1,79.0,Comedy,"A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9."
The Act,2019,18+,8.0/10,79/100,0,1,0,0,8.0,79.0,Biography Crime Drama,"Dee Dee Blanchard is overprotective of her daughter, Gypsy, who is trying to escape the toxic relationship she has with her mother. Gypsy's quest for independence opens up a Pandora's box of secrets, which ultimately leads to murder."
The Fosters,2013,16+,7.9/10,79/100,0,1,1,0,7.9,79.0,Drama Romance,"Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children."
Younger,2015,16+,7.8/10,79/100,0,1,0,0,7.8,79.0,Comedy Romance,"After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old."
The Good Doctor,2017,16+,8.1/10,79/100,0,1,0,0,8.1,79.0,Drama,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
Terminator: The Sarah Connor Chronicles,2008,7+,7.7/10,79/100,0,1,0,0,7.7,79.0,Action Drama Fantasy,"Set after the events in Terminator 2: Judgment Day (1991), Sarah Connor and her son, John, try to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon."
Angel,1999,7+,7.9/10,79/100,0,1,1,0,7.9,79.0,Action Drama Fantasy,"The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption."
09-01-2001,2018,16+,7.8/10,79/100,0,1,0,0,7.8,79.0,,
